ticks,adult,child,cost-benefit,generations,gene,median-children,median-education
71,0.05,0.95,0.95,3.25,3.384,0,5
63,0.05,0.85,0.4,3.25,3.6,6,5
64,0.05,0.85,0.65,3.25,4.022,7,6
67,0.05,0.85,0.75,3.25,4.304,7,6
65,0.05,0.85,0.6,3.25,4.578,5,6
62,0.05,0.85,0.65,3.25,4.898,6,6
77,0.05,0.6,0.2,3.25,5.96,4,7
63,0.05,0.85,1,3.25,6.001,6,8
70,0.05,0.7,0.9,3.25,6.241,3,8
69,0.05,0.8,0.45,3.25,6.622,5,8
72,0.05,0.75,0.5,3.25,7.199,4,9
64,0.05,0.9,0.6,3.25,9.788,0,11
82,0.05,0.85,0.5,3.25,9.88,4,11
82,0.05,0.8,0.9,3.3,2.079,6,4
57,0.05,0.65,0.25,3.31,0.412,2,2
69,0.05,0.75,0.4,3.31,7.905,2.5,9
61,0.05,0.85,0.45,3.33,9.479,5.5,11
66,0.05,0.75,0.5,3.34,4.504,5,6
68,0.05,0.7,0.25,3.38,0.572,1.5,2
64,0.05,0.85,0.65,3.38,0.978,1,2
63,0.05,0.9,0.95,3.38,1.43,7,3
71,0.05,0.45,0.15,3.38,1.698,3,3
75,0.05,0.6,0.2,3.38,1.861,5,3
78,0.05,0.8,0.85,3.38,4.826,3,6
71,0.05,0.3,0.1,3.38,5.986,0,7
65,0.05,0.8,0.8,3.38,6.632,0,8
64,0.05,0.7,0.2,3.44,0.985,0,2
74,0.05,0.85,0.8,3.44,3.733,7,5
65,0.05,0.85,0.3,3.44,5.052,2,7
70,0.05,0.8,0.4,3.44,7.321,4,9
67,0.05,0.8,0.7,3.44,7.987,8,9
61,0.05,0.9,0.45,3.47,0.152,3.5,2
65,0.05,0.65,0.2,3.47,1.435,1.5,3
73,0.05,0.8,0.5,3.48,0.06,2,2
62,0.05,0.35,0.1,3.5,0.227,3.5,2
81,0.05,0.35,0.1,3.5,0.255,6,2
72,0.05,0.85,0.75,3.5,0.473,2,2
74,0.05,0.75,0.45,3.5,0.769,4.5,2
65,0.05,0.75,0.95,3.5,0.831,1,2
64,0.05,0.4,0.1,3.5,1.648,1,3
77,0.05,0.65,0.2,3.5,2.905,2,4
83,0.05,0.8,0.75,3.5,3.262,10,5
71,0.05,0.8,0.7,3.5,3.468,2,5
63,0.05,0.55,0.2,3.5,3.839,5,5
75,0.05,0.85,0.65,3.5,3.922,0,5
74,0.05,0.8,1,3.5,4.637,3,6
76,0.05,0.85,0.4,3.5,4.886,1,0
75,0.05,0.9,0.65,3.5,5.97,6,7
71,0.05,0.8,0.8,3.5,6.577,0,8
58,0.05,0.85,0.95,3.5,6.844,2,8
73,0.05,0.8,0.7,3.5,6.951,4,8
66,0.05,0.55,0.15,3.5,7.903,0,3
68,0.05,0.85,0.5,3.5,9.306,1.5,11
70,0.05,0.75,0.5,3.5,9.771,5,11
69,0.05,0.85,0.75,3.53,7.411,0,9
71,0.05,0.8,0.45,3.55,8.982,3.5,10
56,0.05,0.4,0.15,3.56,0.057,4,1
75,0.05,0.5,0.15,3.56,0.133,4,2
69,0.05,0.75,0.85,3.56,1.074,1,3
68,0.05,0.7,0.25,3.56,1.733,2,3
69,0.05,0.5,0.15,3.56,4.009,3,6
77,0.05,0.8,1,3.56,5.2,4,7
66,0.05,0.35,0.1,3.56,5.487,5,7
76,0.05,0.75,1,3.56,6.756,8,8
63,0.05,0.85,0.55,3.56,8.19,0,10
67,0.05,0.9,0.9,3.56,8.226,1,10
76,0.05,0.85,0.5,3.58,3.153,4.5,5
65,0.05,0.8,0.25,3.59,0.306,0,2
65,0.05,0.8,0.45,3.59,2.33,3,4
66,0.05,0.85,0.4,3.63,0.083,1,2
63,0.05,0.55,0.15,3.63,0.727,1,2
58,0.05,0.4,0.15,3.63,1.414,3,3
87,0.05,0.45,0.15,3.63,1.692,4,3
68,0.05,0.9,0.6,3.63,2.425,1,4
59,0.05,0.7,0.25,3.63,3.164,1,5
59,0.05,0.85,0.9,3.63,3.268,1,5
61,0.05,0.8,0.9,3.63,3.63,0,5
66,0.05,0.85,0.55,3.63,6.367,2,8
77,0.05,0.75,0.7,3.63,7.357,0,9
71,0.05,0.85,0.45,3.63,7.419,2,9
78,0.05,0.85,0.85,3.63,8.204,1,10
71,0.05,0.8,1,3.63,9.029,1,11
70,0.05,0.7,0.5,3.63,9.274,3,11
